,abdom_protein,abdomen,abdominal_dist,abdomino_appearance,age,capillary_time,cell_vol,extreme_temp,feces,mucous,nasogastric_PH,nasogastric_reflux,nasogastric_tube,pain,peripheral_pulse,peristalsis,protein,pulse,rectal_temp,respiration,surgical_lesion
0,2.0,2.0,2.0,2.0,1,1.0,50.0,,4.0,4.0,,,,3.0,,4.0,85.0,88.0,39.2,20.0,2
1,,1.0,1.0,,1,1.0,33.0,1.0,1.0,3.0,,,,3.0,1.0,3.0,6.7,40.0,38.3,24.0,2
2,5.3,,4.0,3.0,9,2.0,48.0,4.0,3.0,6.0,5.0,2.0,1.0,2.0,1.0,4.0,7.2,164.0,39.1,84.0,1
3,,,,,1,2.0,74.0,,,6.0,,,,,,,7.4,104.0,37.3,35.0,2
4,,3.0,2.0,,1,1.0,,2.0,3.0,3.0,,1.0,2.0,2.0,1.0,3.0,,,,,2
5,,5.0,3.0,,1,1.0,37.0,1.0,3.0,1.0,,1.0,1.0,3.0,1.0,3.0,7.0,48.0,37.9,16.0,1
6,,4.0,2.0,,1,1.0,44.0,3.0,3.0,,,1.0,2.0,,,4.0,8.3,60.0,,,1
7,,5.0,4.0,,1,1.0,38.0,3.0,3.0,3.0,,1.0,2.0,4.0,4.0,4.0,6.2,80.0,,36.0,1
8,2.2,,1.0,1.0,9,1.0,40.0,1.0,3.0,1.0,,1.0,2.0,5.0,,3.0,6.2,90.0,38.3,,2
9,3.6,5.0,1.0,2.0,1,1.0,44.0,3.0,2.0,5.0,3.0,1.0,2.0,3.0,3.0,3.0,6.0,66.0,38.1,12.0,1
10,,4.0,2.0,,1,1.0,50.0,2.0,4.0,2.0,,1.0,1.0,2.0,,1.0,7.8,72.0,39.1,52.0,1
11,,5.0,3.0,,1,1.0,,2.0,4.0,1.0,,1.0,3.0,3.0,1.0,3.0,7.0,42.0,37.2,12.0,2
12,,1.0,2.0,1.0,9,1.0,37.0,1.0,1.0,2.0,7.2,,3.0,1.0,1.0,3.0,6.1,92.0,38.0,28.0,2
13,2.0,4.0,1.0,1.0,1,1.0,46.0,3.0,4.0,1.0,,2.0,2.0,3.0,1.0,4.0,81.0,76.0,38.2,28.0,1
14,,,3.0,,1,1.0,45.0,3.0,4.0,4.0,4.5,3.0,2.0,5.0,1.0,3.0,6.8,96.0,37.6,48.0,1
15,4.7,5.0,3.0,3.0,9,2.0,53.0,3.0,4.0,4.0,,,3.0,4.0,3.0,4.0,7.8,128.0,,36.0,2
16,,,,,1,,,,,,,,,,,,,48.0,37.5,24.0,2
17,,5.0,1.0,1.0,1,1.0,40.0,1.0,2.0,2.0,,1.0,1.0,2.0,1.0,3.0,7.0,64.0,37.6,21.0,1
18,,,3.0,,1,,55.0,4.0,,6.0,,,,,3.0,3.0,8.7,110.0,39.4,35.0,2
19,,4.0,4.0,2.0,1,2.0,46.0,1.0,4.0,5.0,,1.0,3.0,5.0,1.0,4.0,6.1,72.0,39.9,60.0,1
20,,3.0,1.0,,1,1.0,49.0,1.0,4.0,1.0,5.5,3.0,2.0,1.0,,3.0,6.8,48.0,38.4,16.0,2
21,,,1.0,,1,,48.0,2.0,1.0,4.0,,,,2.0,1.0,3.0,7.2,42.0,38.6,34.0,1
22,,,,,9,1.0,50.0,,,,,,,2.0,3.0,4.0,70.0,130.0,38.3,60.0,1
23,,,3.0,,1,1.0,51.0,3.0,,3.0,2.0,2.0,3.0,,3.0,4.0,65.0,60.0,38.1,12.0,1
24,,,,,1,1.0,,,,,,,,,,,,60.0,37.8,42.0,2
25,3.9,5.0,3.0,2.0,1,2.0,43.0,4.0,3.0,3.0,,1.0,2.0,3.0,3.0,3.0,7.0,72.0,38.3,30.0,1
